,0,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
0,Bluff,168.3333,-46.6,13.33,70,87,1.79
1,Bagdarin,113.6,54.4333,0.45,30,87,8.05
2,Lázaro Cárdenas,-102.2,17.9583,22.58,73,0,1.83
3,Albany,-73.9662,42.6001,5.0,80,95,0.94
4,Rassvet,40.75,46.8333,8.72,73,96,2.24
5,Celestún,-90.4,20.8667,26.59,80,25,3.78
6,Mahébourg,57.7,-20.4081,26.0,89,75,5.66
7,Hamilton,-84.5333,39.1834,6.67,93,20,1.62
8,Castro,-50.0119,-24.7911,12.71,97,4,1.17
9,Olinda,-34.8553,-8.0089,22.0,94,40,2.06
10,Port Elizabeth,25.5701,-33.918,15.0,77,0,1.03
11,Aksu,80.2644,41.1231,21.71,19,80,1.28
12,Cherskiy,161.3,68.75,0.13,72,100,10.9
13,Quzhou,118.8686,28.9594,19.79,62,100,3.86
14,Les Cayes,-73.75,18.2,24.75,86,15,3.1
15,Palmas,-48.3603,-10.2128,25.0,94,40,1.54
16,Butaritari,172.7902,3.0707,27.64,78,99,4.84
17,Saint-Augustin,-58.6502,51.226,-0.44,85,15,7.64
18,Iquique,-70.1431,-20.2208,18.0,72,0,1.54
19,Yumen,97.2,40.2833,17.75,7,100,0.95
20,Cabo San Lucas,-109.9124,22.8909,21.67,55,2,5.64
21,Linxia Chengguanzhen,103.2064,35.6003,18.87,27,0,2.73
22,Qaanaaq,-69.3632,77.484,-18.55,93,100,2.77
23,Portland,-122.6762,45.5234,18.0,39,1,2.57
24,Maromitsa,48.0123,59.8683,2.48,49,76,5.01
25,Punta Arenas,-70.9167,-53.15,8.0,76,75,4.12
26,Ushuaia,-68.3,-54.8,11.0,54,40,4.63
27,Kolding,9.4722,55.4904,8.33,71,35,4.12
28,Mataura,168.8643,-46.1927,13.33,70,51,1.79
29,Kokopo,152.2633,-4.352,27.79,77,85,1.13
30,Oussouye,-16.5469,12.485,22.0,88,0,2.06
31,Berlevåg,29.0864,70.8578,3.11,76,70,8.51
32,Port Blair,92.75,11.6667,30.56,62,17,3.01
33,Ndjolé,10.7649,-0.1783,24.42,96,100,0.47
34,Atuona,-139.0333,-9.8,26.93,74,29,8.48
35,Tonj,28.6822,7.2737,30.08,44,99,3.29
36,Katsuura,140.3,35.1333,22.0,39,20,13.38
37,Kutum,24.6667,14.2,24.69,9,64,5.63
38,Barrow,-156.7887,71.2906,-2.0,74,1,5.14
39,Caravelas,-39.2481,-17.7125,21.95,93,24,1.33
40,Filingué,3.3168,14.3521,28.9,20,53,2.59
41,Norman Wells,-126.8329,65.282,1.0,64,40,0.92
42,Tasiilaq,-37.6368,65.6145,-5.0,80,90,0.93
43,Kahului,-156.47,20.8947,23.0,88,40,5.14
